TOUCHPOINT_DATETIME;RESPONSE_DATE;CHURNED_SINCE_FEEDBACK;CUSTOMERM_LEGS_ENUM;FIX_VOICE_PRODUCT_YN;FIX_BB_PRODUCT_YN;MOBILE_PRODUCT_YN;TV_PRODUCT_YN;RELATIONSHIP_NPS;CUSTOMER_AGE_CATEGOR_ENUM;OPEN_COMMENT_CMT
10.11.2023 01:11;10.11.2023 16:53;no;MOBILE ONLY;No;No;Yes;No;7;45-54;bin ein langjähriger Kunde und heuer ein upgrade auf Disney+ jetzt geht die CI Karte nicht mehr und muss eine TV Box verwenden ist ein Rückschritt in Digitalisierung.
10.11.2023 01:11;10.11.2023 13:51;no;MOBILE ONLY;No;No;Yes;No;2;55-64;Es scheint das die virtuelle Sim-Karte nicht richtig funktioniert. Der Sprachklang bei mehreren Geräten und an mehreren Standorten ist bei dieser Verbindung äußerst schlecht.
10.11.2023 01:11;11.11.2023 05:25;no;MOBILE ONLY;No;No;Yes;No;10;55-64;Für mich gibt es nichts zu verbessern immer TOP
10.11.2023 01:11;10.11.2023 19:05;no;FIXED ONLY;Yes;Yes;No;Yes;8;65-74;Die TV-Leistung ist sehr gut, ein Festnetztelefon nutze ich nicht mehr, das Internetz ist schnell und zuverlässig. Jedoch die Stilllegung des Emailsdiensten Anfang nächsten Jahres ist ärgerlich - die Handhabung des Emaildienstes war einfach und daher seht gut nutzbar.
10.11.2023 01:11;15.11.2023 13:41;no;MOBILE ONLY;No;No;Yes;No;0;75+;Man kann auf dieser Fernbedienung keinen Ton, Kontrast etc einstellen.das kann man nur mit der Sony Fernbedienung machen aber die funktioniert ja jetzt nicht durch das koppeln
11.11.2023 01:11;15.11.2023 21:42;no;FIXED ONLY;Yes;Yes;No;Yes;4;55-64;TV Funktionen absolut nicht zufriedenstellend. Sendersuche und Stabilität = grottenschlecht. Nichts daran ist smart. Fernbedienung aus den 80ern¿
11.11.2023 01:11;13.11.2023 12:32;no;MOBILE ONLY;No;No;Yes;No;10;55-64;Alles gut.
11.11.2023 01:11;17.11.2023 08:27;no;CONVERGED;No;Yes;Yes;No;10;45-54;Nein danke alles ist beste
11.11.2023 01:11;16.11.2023 19:01;no;FIXED ONLY;Yes;Yes;No;Yes;4;65-74;Wie ich schon Anfangs geschrieben habe, ist die Box und die Fernbedienung eine Katastrophe!
11.11.2023 01:11;13.11.2023 09:58;no;FIXED ONLY;Yes;Yes;No;Yes;8;75+;Für mich nichts nur die Probleme beim löschen von Aufnahmen !
11.11.2023 01:11;17.11.2023 20:48;no;FIXED ONLY;Yes;Yes;No;Yes;0;35-44;Zu teuer, zu viele Störungen und mangelhafter kundenservice!!!
11.11.2023 01:11;17.11.2023 09:20;no;MOBILE ONLY;No;No;Yes;No;10;65-74;Sehr gutes und freundlicher Service
11.11.2023 01:11;13.11.2023 14:52;no;MOBILE ONLY;No;No;Yes;No;8;45-54;Bleiben Sie bitte weiter so
11.11.2023 01:11;13.11.2023 09:36;no;MOBILE ONLY;No;No;Yes;No;8;75+;Abgesehnvon den Gebühren, die teilweise bei Mitbewerbern niedriger sind, bin ich zufrieden.
11.11.2023 01:11;13.11.2023 15:09;no;MOBILE ONLY;No;No;Yes;No;5;55-64;TV-Entertainment-Box ist verbesserungswürdig
11.11.2023 01:11;13.11.2023 14:04;no;MOBILE ONLY;No;No;Yes;No;3;55-64;5g auch für niedrigere Tarife????
11.11.2023 01:11;13.11.2023 17:04;no;CONVERGED;No;Yes;Yes;No;9;55-64;Service kosten Pauschale abschaffen
11.11.2023 01:11;17.11.2023 20:19;no;CONVERGED;No;Yes;Yes;No;10;45-54;Alles sehr gut nur wäre es besser bessere Preis Leistungen für Mobilfunk Geräte
11.11.2023 01:11;17.11.2023 10:26;no;MOBILE ONLY;No;No;Yes;No;10;65-74;"Wollte von LIWEST zu Magenta . Für die Einrichtung Zuhause wird kein Service geboten.......Auch nicht gegen Bezahlung !
Das ist nicht Kundenfreundlich ! !"
11.11.2023 01:11;13.11.2023 15:54;no;FIXED ONLY;Yes;Yes;No;Yes;10;;Berater war sehr freundlich und Aufklärung war verständlich
11.11.2023 01:11;13.11.2023 15:09;no;CONVERGED;No;Yes;Yes;No;5;16-24;Die stabilität der Internetsleistung sillte verbessert werden
11.11.2023 01:11;17.11.2023 08:32;no;FIXED ONLY;Yes;Yes;No;Yes;10;65-74;Im Großen und Ganzen bin ich sehr zufrieden, auch wenn der Preis etwas hoch ist. Ebenso sollte die Abschaffung des Service-Entgeld automatisch auch bei Bestandskunden umgestellt werden.
11.11.2023 01:11;17.11.2023 10:06;no;MOBILE ONLY;No;No;Yes;No;10;45-54;¿¿¿¿
11.11.2023 01:11;13.11.2023 10:36;no;FIXED ONLY;Yes;Yes;No;Yes;5;65-74;Teuer, und TV Box, gar nicht zufrieden.
11.11.2023 01:11;17.11.2023 16:04;no;FIXED ONLY;Yes;Yes;No;Yes;8;;Beim Nachsehen einer Sendung ist noch bessere Bedingungsfreundlichkeit sicher möglich.
11.11.2023 01:11;17.11.2023 08:39;no;MOBILE ONLY;No;Yes;Yes;No;3;65-74;WLAN ist eine Katastrophe!
11.11.2023 01:11;17.11.2023 21:25;no;MOBILE ONLY;No;No;Yes;No;0;25-34;Nein ohne Grund ich habe Mahnung bekommen.
11.11.2023 01:11;17.11.2023 09:04;no;MOBILE ONLY;No;No;Yes;No;9;35-44;Leider ist im Wohnbereich selten Empfang ja ist ein Neubau aber auch mit WLAN call reist oft die Verbindung ab schade.
11.11.2023 01:11;17.11.2023 08:56;no;CONVERGED;No;Yes;Yes;No;4;25-34;Mein Internetprodukt, permanent hängt es sich auf, keine stabile Verbindung!! Für Homeoffice und Studium nicht zumutbar. Keine Hilfe im Shop, im Callcenter auch nach mehrmaligen anrufen keiner erreichbar!!
11.11.2023 01:11;13.11.2023 08:53;no;FIXED ONLY;Yes;Yes;No;Yes;9;75+;Box funktioniert zeitweise nicht. Umtausch leider nicht möglich. Zahle leider für ein schlechtes Produkt.
11.11.2023 01:11;17.11.2023 14:19;no;FIXED ONLY;Yes;Yes;No;Yes;8;65-74;Die immer noch auftretenden Unterbrechungen beim TV-Empfang belasten meine Meinung, ansonsten sind meine Erfahrungen mit dem Magenta-Internet durchaus positiv.
11.11.2023 01:11;13.11.2023 11:27;no;MOBILE ONLY;No;Yes;No;No;0;;Probleme mit Empfang und Downloadgeschwindikeit werden seit Jahren ignoriert
11.11.2023 01:11;17.11.2023 10:57;no;MOBILE ONLY;No;Yes;Yes;No;1;45-54;Es wird immer nur versucht das teuerste Produkt zu verkaufen, nicht dass was man nachfragt.
11.11.2023 01:11;13.11.2023 08:54;no;CONVERGED;No;Yes;Yes;No;3;25-34;Die Stabilität des Internets. Die Kompetenz der Mitarbeiter, den jeder sagt was anderes.
11.11.2023 01:11;13.11.2023 21:59;no;FIXED ONLY;Yes;Yes;No;Yes;10;55-64;Danke alles bestens.
11.11.2023 01:11;13.11.2023 10:28;no;FIXED ONLY;Yes;Yes;No;Yes;6;55-64;Verbindungsstabilität der TV Box
11.11.2023 01:11;13.11.2023 08:32;no;CONVERGED;No;Yes;Yes;No;10;35-44;Netzabdeckung vor allem beim Internet, ist Top!!
11.11.2023 01:11;13.11.2023 18:36;no;MOBILE ONLY;No;No;Yes;No;10;55-64;Passt so
11.11.2023 01:11;17.11.2023 16:51;no;MOBILE ONLY;No;No;Yes;No;4;55-64;Wollte neues Handy im Shop kaufen,Personal hatte null Ahnung,wurde auch nicht zurückgerufen,  Nur lässig sein im Shop ist zuwenig.
11.11.2023 01:11;14.11.2023 10:57;no;FIXED ONLY;Yes;Yes;No;Yes;6;55-64;Die neuen TV-Boxen sind einfach schlecht
11.11.2023 01:11;17.11.2023 09:00;no;MOBILE ONLY;No;No;Yes;No;10;55-64;*
11.11.2023 01:11;17.11.2023 15:11;no;MOBILE ONLY;No;No;Yes;No;9;65-74;Bin im allgemeinen mit den Angeboten sehr zufrieden lb Grüße
11.11.2023 01:11;13.11.2023 09:39;no;FIXED ONLY;Yes;Yes;No;Yes;4;45-54;TV- Box stürzt immer wieder ab. Keine Möglichkeit bzgl. Netflix. Serienauswahl zu gering
11.11.2023 01:11;13.11.2023 11:23;no;CONVERGED;No;Yes;Yes;No;4;25-34;Ich würde mich freuen, wenn der kundenservice abheben würde.
11.11.2023 01:11;17.11.2023 10:20;no;MOBILE ONLY;No;No;Yes;No;10;35-44;Die tv Boxen könnten etwas besser sein
11.11.2023 01:11;17.11.2023 14:45;no;MOBILE ONLY;No;No;Yes;No;9;;Alles ok
12.11.2023 01:11;13.11.2023 11:14;no;MOBILE ONLY;No;No;Yes;No;10;35-44;¿
12.11.2023 01:11;13.11.2023 14:11;no;FIXED ONLY;Yes;Yes;No;Yes;9;55-64;Gutes Preis- Leistungsverhältnis und kompetende Mitarbeiter. Top!!
12.11.2023 01:11;13.11.2023 11:31;no;MOBILE ONLY;No;No;Yes;No;0;35-44;Nur abzocker seid ihr Königen sobald es möglich ist
12.11.2023 01:11;13.11.2023 08:37;no;MOBILE ONLY;No;No;Yes;No;10;65-74;Alles ok
12.11.2023 01:11;13.11.2023 11:09;no;FIXED ONLY;Yes;Yes;No;Yes;5;55-64;Es sind immer wieder unerwartet Sachen die fürchterlich nerven zb er schreibt zu viele Geräte schauen wir haben nur 2 zb dann schreibt ich muss mich anmelden ,verschiedene Programme kann ich mir nicht immer anschauen zeitversetzt einen Tag später funktioniert es wieder es sind noch viele Dinge die nicht passen ich hoffe ihr bekommt das in Griff
12.11.2023 01:11;17.11.2023 14:19;no;MOBILE ONLY;No;No;Yes;No;8;65-74;Preise, Leistungen
12.11.2023 01:11;13.11.2023 08:26;no;MOBILE ONLY;No;No;Yes;No;1;45-54;"Mehr Geld in den Netzausbau und die Verbindungsstabilität investieren und weniger in ""inklusive"" Werbung , angebliche Nachhaltigkeit, oder CO2 Neutralität vorgaukeln, was mir alles überhaupt kein Anliegen ist. Für stabile Internetverbindungen zahle ich, nicht für alberne LGBTQ Propaganda und dergleichen."
12.11.2023 01:11;13.11.2023 18:49;no;MOBILE ONLY;No;No;Yes;No;10;;don´t change winning teams
12.11.2023 01:11;13.11.2023 08:46;no;MOBILE ONLY;No;No;Yes;No;5;55-64;"- Hotline 
- Preise"
12.11.2023 01:11;13.11.2023 23:09;no;FIXED ONLY;Yes;Yes;No;Yes;10;65-74;Ich bin Wunschlos glücklich!
